Title,Code / Notes,count,mean,std,min,25%,50%,75%,max
OS.,LL,1.0,0.25,,0.25,0.25,0.25,0.25,0.25
Orland 2nd Impression,& post,4.0,0.55,0.30465144017384854,0.3625,0.3625,0.41875,0.60625,1.0
Orland 2nd Impression,CC,14.0,0.3392857142857143,0.15833092344416275,0.25,0.25,0.25,0.4375,0.75
Orland 2nd Impression,CC LL,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
Orland 2nd Impression,LL,229.0,2.4891739446870425,5.310176471578278,0.25,0.33749999999999997,1.0125,1.8,45.0
Orland 2nd Impression,LL  ,66.0,2.811174242424243,4.863178036960244,0.3,0.3625,1.8,3.45,30.0
Orland 2nd Impression,LL & post,2.0,0.3625,0.0,0.3625,0.3625,0.3625,0.3625,0.3625
Orland 2nd Impression,LL B Dept & post,1.0,0.33749999999999997,,0.33749999999999997,0.33749999999999997,0.33749999999999997,0.33749999999999997,0.33749999999999997
Orland 2nd Impression,LL CC,23.0,2.5518115942028987,4.9956282696823395,0.25,0.25,0.5,1.5,21.25
Orland 2nd Impression,LL PP,3.0,0.32499999999999996,0.021650635094610952,0.3,0.31875,0.33749999999999997,0.33749999999999997,0.33749999999999997
Orlando,& post,2.0,0.47291666666666665,0.002946278254943977,0.4708333333333333,0.47187500000000004,0.47291666666666665,0.47395833333333337,0.47500000000000003
Orlando,CC,6.0,0.25,0.0,0.25,0.25,0.25,0.25,0.25
Orlando,CC LL,1.0,1.5,,1.5,1.5,1.5,1.5,1.5
Orlando,Dept B,10.0,0.5020833333333333,0.1402605875055691,0.45,0.45,0.45,0.47395833333333337,0.9
Orlando,LL,564.0,2.1579417848699842,4.529632809859361,0.1,0.33749999999999997,0.675,1.8,60.0
Orlando,LL & post,1.0,0.3625,,0.3625,0.3625,0.3625,0.3625,0.3625
Orlando,LL CC,15.0,0.35,0.18419709940325185,0.25,0.25,0.25,0.375,0.75
Orlando,LL OJ,1.0,0.3,,0.3,0.3,0.3,0.3,0.3
Orlando,LL PP,10.0,0.7058333333333333,0.5887388435681189,0.33749999999999997,0.45,0.45,0.47395833333333337,1.8375000000000001
Orlando,"LL PP (2 10/13, 1 10/16)",1.0,0.9,,0.9,0.9,0.9,0.9,0.9
Orlando,PP LL,1.0,0.9,,0.9,0.9,0.9,0.9,0.9
Orlando,PP LL & post,1.0,0.325,,0.325,0.325,0.325,0.325,0.325
Orlando O.S.,LL,4.0,0.32812499999999994,0.01874999999999999,0.3,0.328125,0.33749999999999997,0.33749999999999997,0.33749999999999997
Orlando ON SALE,LL,2.0,0.33749999999999997,0.0,0.33749999999999997,0.33749999999999997,0.33749999999999997,0.33749999999999997,0.33749999999999997
Orlando ON SALE,LL CC,1.0,0.25,,0.25,0.25,0.25,0.25,0.25
Orlando OS.,LL,4.0,0.309375,0.01874999999999999,0.3,0.3,0.3,0.30937499999999996,0.33749999999999997
Orlando OS.,LL (see 9848),1.0,0.3,,0.3,0.3,0.3,0.3,0.3
Orlando Third Impression,& post,1.0,0.3625,,0.3625,0.3625,0.3625,0.3625,0.3625
Orlando Third Impression,& post LL CC,1.0,0.275,,0.275,0.275,0.275,0.275,0.275
Orlando Third Impression,CC,23.0,0.2826086956521739,0.11442414682004004,0.25,0.25,0.25,0.25,0.75
Orlando Third Impression,CC LL,1.0,0.275,,0.275,0.275,0.275,0.275,0.275
Orlando Third Impression,LL,355.0,1.0692136150234746,1.6168947196264376,0.275,0.33749999999999997,0.3625,1.0125,19.2
Orlando Third Impression,LL & post,9.0,0.4782407407407407,0.2547361940309675,0.33749999999999997,0.3625,0.3625,0.3625,1.0791666666666666
Orlando Third Impression,LL (already entered),1.0,0.33749999999999997,,0.33749999999999997,0.33749999999999997,0.33749999999999997,0.33749999999999997,0.33749999999999997
Orlando Third Impression,LL (transferred to Room One's Own),2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Orlando Third Impression,LL 2 retd 12/19,1.0,1.0125,,1.0125,1.0125,1.0125,1.0125,1.0125
Orlando Third Impression,LL CC,64.0,0.9780598958333332,2.530291163050675,0.2,0.25,0.275,0.75,19.166666666666664
Orlando Third Impression,LL CC & post,1.0,0.275,,0.275,0.275,0.275,0.275,0.275
Orlando Third Impression,LL CC (see 7717),1.0,1.2833333333333334,,1.2833333333333334,1.2833333333333334,1.2833333333333334,1.2833333333333334,1.2833333333333334
Orlando Third Impression,LL reg post,1.0,0.375,,0.375,0.375,0.375,0.375,0.375
The Dark Island,(13 retd 2/4) LL OS.,1.0,5.9375,,5.9375,5.9375,5.9375,5.9375,5.9375
The Dark Island,1 ppt,1.0,0.3,,0.3,0.3,0.3,0.3,0.3
The Dark Island,1 rted imperfect,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
The Dark Island,12 pd 3/30 LL,1.0,0.25,,0.25,0.25,0.25,0.25,0.25
The Dark Island,Appro LL,1.0,0.28125,,0.28125,0.28125,0.28125,0.28125,0.28125
The Dark Island,B185 LL,1.0,11.05,,11.05,11.05,11.05,11.05,11.05
The Dark Island,BTS 5751 LL,1.0,0.1625,,0.1625,0.1625,0.1625,0.1625,0.1625
The Dark Island,CC,76.0,0.5434758771929834,1.77400093630272,0.1625,0.1625,0.1625,0.203125,14.95
The Dark Island,LL,304.0,3.024917763157894,10.865256762345153,0.11666666666666667,0.28125,0.75,1.5,100.0
The Dark Island,LL ,40.0,0.47671875,0.40019273076207623,0.23750000000000002,0.2734375,0.28125,0.515625,2.0
The Dark Island,LL  ,14.0,1.103125,1.6840398107332901,0.1625,0.2578125,0.28125,1.3359375,6.25
The Dark Island,LL  CC,1.0,0.1625,,0.1625,0.1625,0.1625,0.1625,0.1625
The Dark Island,LL (2/7) CC,1.0,64.58333333333333,,64.58333333333333,64.58333333333333,64.58333333333333,64.58333333333333,64.58333333333333
